,user,time_unix,weight_dem,weight_rep
350,Hillary Clinton,1467822916,0.94711274,0.0528872
351,Bernie Sanders,1468078602,0.99429506,0.0057049743
352,Bernie Sanders,1468164726,0.796512,0.20348804
353,Bernie Sanders,1468038887,0.11742334,0.8825767
354,Hillary Clinton,1467823126,0.97059655,0.029403431
355,Hillary Clinton,1467739288,0.9998072,0.00019281289
356,Hillary Clinton,1467747673,0.36355844,0.6364416
357,Hillary Clinton,1467749396,0.9999969,3.1059612e-06
358,Hillary Clinton,1467750513,0.77682585,0.22317418
359,Bernie Sanders,1468269784,0.61895347,0.3810466
360,Bernie Sanders,1468284363,0.8315658,0.16843425
361,Hillary Clinton,1467747498,0.348451,0.65154904
362,Bernie Sanders,1468112637,0.9948008,0.005199219
363,Bernie Sanders,1468084383,0.10443249,0.89556754
364,Bernie Sanders,1468104265,0.40883982,0.5911601
365,Bernie Sanders,1468020064,0.70530695,0.29469302
366,Hillary Clinton,1467822947,1.0,9.471376e-18
367,Hillary Clinton,1467850713,0.91092783,0.08907219
368,Hillary Clinton,1467892892,0.44672933,0.5532707
369,Bernie Sanders,1468158187,0.9974814,0.0025186075
370,Bernie Sanders,1468182721,0.6034606,0.39653942
371,Bernie Sanders,1468026462,0.9987895,0.0012104806
372,Hillary Clinton,1467747339,0.98574716,0.014252801
373,Hillary Clinton,1467852016,0.26881978,0.7311802
374,Hillary Clinton,1467750628,0.99716383,0.002836171
375,Hillary Clinton,1467741735,0.9940289,0.0059710937
376,Hillary Clinton,1467751464,0.2637351,0.73626494
377,Hillary Clinton,1467839768,0.9998062,0.00019384685
378,Bernie Sanders,1468278182,0.99999833,1.726213e-06
379,Hillary Clinton,1467838474,0.8118494,0.18815051
380,Bernie Sanders,1468171941,0.9999962,3.783037e-06
381,Bernie Sanders,1468078573,0.068629116,0.9313709
382,Hillary Clinton,1467748361,0.99939644,0.0006035541
383,Hillary Clinton,1467747723,0.99997234,2.7705219e-05
384,Hillary Clinton,1467747308,0.9889725,0.011027535
385,Hillary Clinton,1467822864,0.99999464,5.346353e-06
386,Bernie Sanders,1468198921,1.0,4.5419035e-14
387,Hillary Clinton,1467764316,0.32713047,0.67286956
388,Bernie Sanders,1468191424,0.28929552,0.7107045
389,Hillary Clinton,1467856090,0.24965885,0.7503412
390,Bernie Sanders,1467832493,0.81390357,0.18609639
391,Bernie Sanders,1467926464,0.9504281,0.04957183
392,Bernie Sanders,1467992887,0.8901329,0.10986711
393,Bernie Sanders,1467732836,0.69905293,0.30094704
394,Bernie Sanders,1467923756,1.0,3.9365607e-16
395,Bernie Sanders,1467936184,0.9930682,0.0069318237
396,Bernie Sanders,1467741961,0.8238024,0.17619753
397,Bernie Sanders,1467735205,0.8665602,0.13343981
398,Bernie Sanders,1468003116,0.99288964,0.007110355
399,Bernie Sanders,1467845668,0.9939686,0.0060313693
400,Bernie Sanders,1467819549,0.99885833,0.0011417299
401,Bernie Sanders,1467737474,0.99549544,0.004504525
402,Bernie Sanders,1468105967,0.5475971,0.4524029
403,Bernie Sanders,1467829742,0.0073938984,0.99260604
404,Bernie Sanders,1467737227,0.9943216,0.005678442
405,Bernie Sanders,1467921663,0.9996295,0.0003704565
406,Bernie Sanders,1468097405,0.35705817,0.6429418
407,Hillary Clinton,1476144329,0.99984944,0.00015048185
408,Bernie Sanders,1467812092,0.98593706,0.014062966
409,Bernie Sanders,1468157773,0.26847765,0.7315223
410,Bernie Sanders,1467919157,0.99975103,0.00024896915
411,Bernie Sanders,1467923476,0.9928624,0.007137614
412,Bernie Sanders,1467735863,0.99943465,0.00056533254
413,Bernie Sanders,1467816493,0.9496378,0.050362255
414,Bernie Sanders,1467940923,0.99997973,2.0288557e-05
415,Bernie Sanders,1467855069,0.9927644,0.0072356374
416,Bernie Sanders,1467923389,0.6984593,0.30154073
417,Hillary Clinton,1475288555,0.10326288,0.8967371
418,Bernie Sanders,1467811626,0.9746431,0.02535684
419,Bernie Sanders,1467827882,0.066339105,0.9336609
420,Bernie Sanders,1467737326,0.95282215,0.0471779
421,Bernie Sanders,1467818743,0.99997866,2.1282549e-05
422,Bernie Sanders,1468071308,0.09063038,0.9093696
423,Bernie Sanders,1468007107,0.99999654,3.4597515e-06
424,Bernie Sanders,1467999786,0.99943274,0.0005672638
425,Bernie Sanders,1467765721,0.34310445,0.6568955
426,Bernie Sanders,1467739034,0.88259774,0.117402256
427,Bernie Sanders,1467987426,0.9999664,3.3630706e-05
428,Bernie Sanders,1468079291,0.8764487,0.12355132
429,Bernie Sanders,1467894725,0.99662054,0.0033794474
